action,driver.attackState,driver.bImpactDone,driver.cooldownRemaining,driver.stateTimer,knockout.bPlayerKO,knockout.bPlayerRagdolled,knockout.bVanguardKO,knockout.bVanguardRagdolled,mover.bCrossingActive,mover.bExternalMovementLocked,mover.currentSideSign,mover.movementIntent,phase,player.bIsAttacking,player.currentHealth,player.x,player.y,player.z,t,tick,vanguard.health,vanguard.x,vanguard.y,vanguard.z
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,False,70,599.3716873498583,-15.294978096962245,92.15000097656471,55.33,25,0,650,5.086884369595609,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,682.1679438733102,18.037000511664647,92.15000097656471,56.331,26,0,650,5.086884369595609,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,599.371688459464,-15.294980853209506,92.15000097656471,58.997,27,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_punch_mix,False,70,599.371688459464,-15.294980853209506,92.15000286574426,61.663,28,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_punch_mix,False,70,599.371688459464,-15.294980853209506,92.15000262761093,64.329,29,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_punch_mix,False,70,599.371688459464,-15.294980853209506,92.1500007020932,66.996,30,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_punch_mix,False,70,599.371688459464,-15.294980853209506,92.15000259127274,69.663,31,0,650,5.086884369595609,90
none,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,idle_tail,False,70,599.371688459464,-15.294980853209506,92.15000259127274,71.996,32,0,650,5.086884369595609,90
none,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,idle_tail,False,70,599.371688459464,-15.294980853209506,92.15000259127274,73.997,33,0,650,5.086884369595609,90
none,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,idle_tail,False,70,599.371688459464,-15.294980853209506,92.15000259127274,75.663,34,0,650,5.086884369595609,90
none,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,idle_tail,False,70,599.371688459464,-15.294980853209506,92.15000259127274,77.664,35,0,650,5.086884369595609,90
